username,tanggal_ulasan,komentar,processed_komentar,Polarity Score,Sentimen
Rifka Adriningrum,2 tahun lalu,Sushi ter yang terbaik di dunia wekekeke,sushi ter baik dunia wekekeke,1,Positif
DJ Chris Purple,2 tahun lalu,Sebagus Sushi Tei standar,bagus sushi tei standar,-4,Negatif
Wishnu Pratama,2 tahun lalu,"Harga emang ga bohong, sesuai pelayanan dan rasanya",harga emang ga bohong sesuai layan,1,Positif
Arif Hidayat,2 tahun lalu,HALAL! Harus dikatakan tempat ini memiliki begitu banyak varian ikan mentah untuk sashimi. …,halal milik varian ikan mentah sashimi,0,Netral
Farach Difa,2 tahun lalu,"Enaaaakkkkkkk 😍😍😍😍
Yang pasti MUI halal jadi tidak perlu khawatir makan disini …",enaaaakkkkkkk mui halal khawatir makan,-4,Negatif
Ludowikus Dius,2 tahun lalu,"Ya kayak sushi tei pada umumnya aja hahha. Staff tanggap, resto bersih, parkir cukup saja soalnya lokasi pinggir jalan",ya kayak sushi tei aja hahha staff tanggap resto bersih parkir lokasi pinggir jalan,2,Positif
Refa Sweda,2 tahun lalu,"Sushi dengan rasa grade SS,banyak sekali menu disini dan rasanya segar sekali, kalo di bandingin dengan yg lain yg ada di mall mall inilah yg saya suka, free refill ocha juga dengan rasa yg kental yg enak.. harga ocha nya juga cuman 5tb saja kwkwkwk kaget saya",sushi grade ss menu segar kalo bandingin yg yg mall mall yg suka free refill ocha yg kental yg enak harga ocha nya cuman tb kwkwkwk kaget,13,Positif
Cindy Puspita,2 tahun lalu,Datang ke sini untuk matcha dango dan akhirnya menikmati makanan yang memuaskan. Chicken katsu dihidangkan dengan saus kari yang lezat. Dan sushinya enak seperti biasa. Direkomendasikan untuk orang yang menyukai makanan Jepang dan bagi mereka yang ingin mencoba.,matcha dango nikmat makan muas chicken katsu hidang saus kari lezat sushinya enak rekomendasi orang suka makan jepang coba,19,Positif
bambang eko,2 tahun lalu,Sushi terbaik di kota,sushi baik kota,1,Positif
JAGSHOL Dwic,2 tahun lalu,Baik bersih n higienis,bersih n higienis,0,Netral
Bob Heiwa,2 tahun lalu,"Suka menu dan layanannya,
Mereka menghadirkan nuansa Jepang dan beberapa karyawan bahkan menyapa menggunakan bahasa Jepang. …",suka menu layan hadir nuansa jepang karyawan sapa bahasa jepang,0,Netral
Anto Tiger,2 tahun lalu,Oke,oke,2,Positif
Taufiq Ilham Azhari,2 tahun lalu,Salah satu tempat makan sushi terbaik,salah makan sushi baik,-2,Negatif
Krisnawati Sukmaya,2 tahun lalu,Pertama kali makan sushi dikenalin sama sahabatku dulu pas kuliah di Jakarta ya di Sushi Tei. Setelah itu jadi nagih 😂😂😂. Sekarang pindah hidup di Jogja Alhamdulillah ada Sutei juga dong! Sushi Tei ini selalu jadi tujuan makan sushi kalau …,kali makan sushi dikenalin sahabat pas kuliah jakarta ya sushi tei nagih pindah hidup jogja alhamdulillah sutei sushi tei tuju makan sushi,6,Positif
kharisma idea,2 tahun lalu,Makan sushi paling nyaman di kota yogya.  Harga jangan ditanya ya.,makan sushi nyaman kota yogya harga ya,10,Positif
NurulY F,2 tahun lalu,"Termasuk salah satu tempat makan sushi yang rame banget di Jogja. Saya bukan penggemar sushi/sashimi ya, dan lebih suka sushi roll krn ikan/udangnya matang 🤭 tapi anak saya suka dengan salmon sashiminya sedangkan dia itu picky eater banget. …",salah makan sushi rame banget jogja gemar sushi sashimi ya suka sushi roll krn ikan udang matang anak suka salmon sashiminya picky eater banget,3,Positif
Kiky Piky,2 tahun lalu,"Tempat makan sushi yg emang paling enak, semua sashiminya fresh bgt, sama sekali g mengecewakan,mulai dari staffnya yg cepat tanggap, pelayanan yg ramah, lingkungan bersih bgt, kalo masalah rasa gsah diragukan lagi, utk harga sesuai dg kualitas dan rasanya.",makan sushi yg emang enak sashiminya fresh bgt g kecewa staffnya yg cepat tanggap layan yg ramah lingkung bersih bgt kalo gsah ragu utk harga sesuai dg kualitas,11,Positif
Kreshna Adyatama,2 tahun lalu,"Dagingnya fresh, berasa lumer di mulut. Cuma sayang parkiran mobilnya agak kurang",daging fresh asa lumer mulut sayang parkir mobil,-3,Negatif
Windri Jun Kusnadilawati,2 tahun lalu,Bagus..,bagus,-2,Negatif
Herbanu Setiawan,2 tahun lalu,Bismillah...,bismillah,4,Positif
Syahida Norviana,2 tahun lalu,Best sushi in my town sih kalau ini. Aku suka pesen menu salmon dan tuna. Pas dimakan itu lembut dan nyeesss. Untuk mentainya juga enak. Ada varian sushi yang tidak seafood kok. Selain itu disini menyediakan menu nasi dan udon. Dessertnya …,best sushi in my town sih suka sen menu salmon tuna pas makan lembut nyeesss mentainya enak varian sushi seafood sedia menu nasi udon dessertnya,9,Positif
my music42,2 tahun lalu,Pelayanan yang baik,layan,0,Netral
FADILAH,2 tahun lalu,"The best sushi in the town. Pertama kali makan di Jakarta, karna di Solo tidak ada dan langsung menobatkan sushi ini yg terenak. Dan ga mikir panjang meski harus  ke Jogja cm demi makan Sushi Tei. Seenak itu.😭 …",the best sushi in the town kali makan jakarta karna solo langsung nobat sushi yg enak ga mikir jogja cm makan sushi tei enak,6,Positif
Iyasss21,2 tahun lalu,"Banyak pilihan makanan, tetapi keterangan harganya masih kurang jelas",pilih makan terang harga,0,Netral
Faqih Adnan,2 tahun lalu,Masih paling enak sih. Cuma saya sering sekali ketika ada promo paket yang di gambar menarik tapi menu pesanan yang datang gak sama seperti di gambar menu. Bahkan menu yang lainpun kebanyakan gak sama seperti di gambar,enak sih promo paket gambar tarik menu pesan gak gambar menu menu lain banyak gak gambar,2,Positif
Nikita,2 tahun lalu,"Saya memberikan satu bintang karena saya tidak bisa memberikannya lebih rendah. Jika Anda rindu mayones Zaanse, saya pasti akan pergi ke sini. Sushi semuanya flambéed, mereka tidak mengerti jika Anda menginginkannya mentah. Saat kami ingin …",bintang beri rendah rindu mayones zaanse pergi sushi flamb ed erti ingin mentah,-8,Negatif
Caroline Feby,2 tahun lalu,"Pelayanan bagus, tp utk menu kurang fresh ya . Yg di pesan tidak dibuat lgsg tp di ambilkan di etalase yg sudah dingin dan kering rasa nasi nya :(",layan bagus tp utk menu fresh ya yg pesan lgsg tp ambil etalase yg dingin kering nasi nya,-5,Negatif
kusumo asmoro,2 tahun lalu,Tempat bersih nyaman dan aman jika membawa anak anak,bersih nyaman aman bawa anak anak,-4,Negatif
Hardi Sigar,2 tahun lalu,Oke,oke,2,Positif
Julia Anida,2 tahun lalu,Jujur mending kalo beli sushi atau sashimj di sushi tei sekalian. Karena sushi nya lebih enak dan lebih niat dalam pembuatannya dari tempat sushi lain,jujur mending kalo beli sushi sashimj sushi tei sushi nya enak niat buat sushi,3,Positif
Caca,2 tahun lalu,Tempat nyaman dan cukup luas walaupun terkadang harus waiting list. Sushi tei jd tujuan tempat makan pertama untuk makanan jepang di Jogja.,nyaman luas terkadang waiting list sushi tei jd tuju makan makan jepang jogja,9,Positif
Fatah Iskandar,2 tahun lalu,Lumayan lah,lumayan,-1,Negatif
Kurniawan Edwin,2 tahun lalu,"Sushi enak terutama untuk menu selain piring tamu.
mereka menyajikan sushi dengan banyak mentai di atasnya.",sushi enak menu piring tamu saji sushi mentai atas,1,Positif
erzaberti santosa,2 tahun lalu,"Kalau makanan sih jangan ditanya, masih best lah ya, namun kurang suka dengan vibes didalam ruangan, pencahayaan terasa sangat kurang, sbg usulan dilakukan perbaikan dan pencahayaan yang lebih terang",makan sih best ya suka vibes dalam ruang cahaya sbg usul baik cahaya terang,6,Positif
August Saveero,2 tahun lalu,Pengemasan sangat rapi dan diperhatikan sehingga makanan tidak berantakan pada saat pengantaran. Jam buka untuk delivery sedikit membingungkan.,emas rapi perhati makan beranta antar jam buka delivery bingung,1,Positif
Nat N,2 tahun lalu,"Recomended buat yang mencari tempat makan japanese food yang nyaman. Masalah harga sih relatif, tapi menurut saya agak tinggi",recomended cari makan japanese food nyaman harga sih relatif,4,Positif
Asep Irwan,2 tahun lalu,Layanan luar biasa 👏 …,layan,0,Netral
Muhammad Shandy Satriya,2 tahun lalu,Restoran untuk waktu yang lama. Tunggu selama 1 jam,restoran tunggu jam,-5,Negatif
cavin indarto,2 tahun lalu,"Melayani baik, bersih dan makanan banyak banget malah kenyang banget 😁😀 …",layan bersih makan banget kenyang banget,1,Positif
Thohar Al-Ghofar,2 tahun lalu,"Jutek pelayanan nya, AC nya kurang dingin",jutek layan nya ac nya dingin,-3,Negatif
Esa R,2 tahun lalu,Masakan rekomendasi terbaik dan terlengkap,masakan rekomendasi baik lengkap,4,Positif
Agustin Puspa R,2 tahun lalu,"Semuanya adalah favoritku di sini. Makanan enak, pelayanan bagus. Tempat parkir kecil tapi staf sangat membantu.",favorit makan enak layan bagus parkir staf bantu,-1,Negatif
Nirma_lala,2 tahun lalu,"Not bad ...👍
Cmn pas aku dtg lgi ga ada takoyaki sm salmon2 yg dgoreng 😁 …",not bad cmn pas dtg lgi ga takoyaki sm salmon yg dgoreng,-1,Negatif
Killa Biezt,2 tahun lalu,Rasa makanan enak sekali. Harga menengah ke atas. Porsi rata2 besar dan mengenyangkan. Salad dan sushi nya recommended. Nasi kari cukup enak tapi biasa aja. Penataan ruangan terasa kurang lega/luas. Ruangan lain dgn dinding kaca cukup hangat dan cenderung gerah di siang hari walau sdh ada AC.  Pelayanan cukup ramah.,makan enak harga tengah porsi kenyang salad sushi nya recommended nasi kari enak aja tata ruang lega luas ruang dgn dinding kaca hangat cenderung gerah siang sdh ac layan ramah,11,Positif
Aulya Avionhela,2 tahun lalu,rasa & layanan yang luar biasa👍🏼👍🏼🤗 …,layan,0,Netral
Kika Maulana,2 tahun lalu,Restaurant ini adalah tempat makan favorit keluarga saya. Semua punya masakan kesukaan masing-masing. Sashimi dan Salmon head Tjioe salah satu yang terfavorit di keluarga saya.  Kami sangat menikmati setiap olahan masakannya. Terutama anak …,restaurant makan favorit keluarga masakan suka sashimi salmon head tjioe salah favorit keluarga nikmat olah masakan anak,6,Positif
Putri,2 tahun lalu,Selalu enak! Luv sushi tei! Salmonnya selalu segar,enak luv sushi tei salmon segar,5,Positif
Mei Dwi Hartanti,2 tahun lalu,"Enak semua , favorite sih sup salmon nya . Tpi ga sempet ke foto ,udah lngsung habis",enak favorite sih sup salmon nya tpi ga sempet foto udah lngsung habis,8,Positif
Nadhifa Ayu Shafirra,2 tahun lalu,"Pertama kali ke sushi tei yang pisah dari mall bangunannya. Cozy, tempatnya nyaman. Pelayanannya cepat. Dan selalu enak untuk makanan2nya.",kali sushi tei pisah mall bangun cozy tempat nyaman layan cepat enak makan,-1,Negatif
O Lynz,2 tahun lalu,sushinya semuanya enak. beberapa kali mampir disini. harganya memang agak mahal tapi worth it lah sama pelayanan dan kualitas makanannya.,sushinya enak kali mampir harga mahal worth it layan kualitas makan,8,Positif
Heinz h,2 tahun lalu,"Cukup ramai, cukup cepat",ramai cepat,-2,Negatif
Tiara Sukma,2 tahun lalu,"Restoran yang menjual menu makanan Jepang. Tempat sangat nyaman, bersih dan pelayanannya juga sangat baik. Nyobain beberapa menu, favorit banget sushi jumbo dragon rollnya",restoran jual menu makan jepang nyaman bersih layan nyobain menu favorit banget sushi jumbo dragon rollnya,0,Netral
Sari.F Mgr,2 tahun lalu,"Asyik duduk di meja bar, pick up as your choice selain dari yg ada di buku menu. menu lengkap, cake nya yummy bgt, minumnya bersoda sparkle buat ngimbangin rasa sushi, dan cakenya",asyik duduk meja bar pick up as your choice yg buku menu menu lengkap cake nya yummy bgt minum soda sparkle ngimbangin sushi cakenya,-4,Negatif
Erlina Pertiwi,2 tahun lalu,Selalu ramai meski harga tidak murah.  Rasa sangat sesuai dengan harga. Memuaskan . .,ramai harga murah sesuai harga muas,13,Positif
Annisa Putri Wahyu F,2 tahun lalu,selalu menyenangkan makan di sini,senang makan,1,Positif
Sami Mäkelä,2 tahun lalu,Sushi terbaik di kota dengan mudah.,sushi baik kota mudah,4,Positif
Desi Wahyuni,2 tahun lalu,"Resto sushi favorit dijogja sushi tei. Sushi nya enak2 banget, udonnya juga enak bisa dimakan berdua, staff nya ramah2, pembayaran bisa cashless juga. Paling suka kalo birthday pasti dapet sushi birthday. Toilet ada, mushola ada tapi kurang …",resto sushi favorit dijogja sushi tei sushi nya enak banget udonnya enak makan dua staff nya ramah bayar cashless suka kalo birthday dapet sushi birthday toilet mushola,11,Positif
Rudi Hartono,2 tahun lalu,Mungkin karena gak terbiasa menu Jepang dilidah terasa aneh.hanya belut goreng yg cocok dilidah.3x kesini karena nemenin klien.tempatnya asik,gak biasa menu jepang lidah aneh belut goreng yg cocok lidah x kesini nemenin klien tempat asik,5,Positif
Kritik Membangun,2 tahun lalu,Pesanan online lama,pesan online,-1,Negatif
H H,2 tahun lalu,Cukup ramai tetapi tidak memakan waktu lama untuk queque dan makanan.,ramai makan queque makan,-2,Negatif
Hans Yohanes,2 tahun lalu,"Tempat nyaman
Pegawai ramah
Makanan enak",nyaman pegawai ramah makan enak,10,Positif
hilman kurniawan,2 tahun lalu,Makan di sini gratis ada yg mbayarin.,makan gratis yg mbayarin,4,Positif
Aria Ogy,2 tahun lalu,Harga sesuai rasa dan pelayanan lah...,harga sesuai layan,6,Positif
diastri dewi,2 tahun lalu,"Ke sini karna pengen makan ramen. Ternyata porsinya besar dong. Untung ngga sendirian makannya. Selain itu kemaren aku pesen chawan musi, fuji roll sushi dan... satunya lupa karna bukan aku yg milih. Kenyang banget pokoknya. Untuk menu yg aku pilih, ngga ada yg fail, enak semua.",karna ken makan ramen porsi untung ngga makan kemaren sen chawan mus fuji roll sushi satu lupa karna yg milih kenyang banget pokok menu yg pilih ngga yg fail enak,-3,Negatif
Djazuli Suprapto,2 tahun lalu,"Tempatnya strategis , menu lengkap dan enak",tempat strategis menu lengkap enak,-3,Negatif
echie satriyadi,2 tahun lalu,"Makanan enak, suasana hati bagus 😻
Sashimi segar …",makan enak suasana hati bagus sashimi segar,7,Positif
Yeny Sintia,2 tahun lalu,Rekomend buat yang mau coba atau mau makan sushi. Varian sushinya banyak ada menu lain juga seperti ramen dll. Pelayanannya sangat baik,rekomend coba makan sushi varian sushinya menu ramen dll layan,0,Netral
BH rakaton,2 tahun lalu,suka sekali,suka,2,Positif
Rizpol,2 tahun lalu,"baru pertama kali makan sushi dan langsung suka, tempatnya lumayan mewah suasana jejepangannya berasa, walaupun agak mahal tapi kualitasnya terjamin. paling suka spicy salmon inarinya. ga cuma sushi ada juga beberapa side dish, dna minumannya juga oke",kali makan sushi langsung suka tempat lumayan mewah suasana jejepangannya asa mahal kualitas jamin suka spicy salmon inarinya ga sushi side dish dna minum oke,7,Positif
Rizki Amilia Fauziati,2 tahun lalu,"Fresh and delicious tapi pricey juga🤭
Sesuai dengan kualitas makanan dan kenyamanan tempat. …",fresh and delicious pricey sesuai kualitas makan nyaman,9,Positif
Fauzia Wardani,2 tahun lalu,"Makanan mereka selalu enak dan segar. Di lantai 1 (lantai dasar) kita bisa mengambil sepiring sushi dari ban berjalan.
Terdapat musala (musholla) di lantai 3 (Lantai 2). …",makan enak segar lantai lantai dasar ambil piring sushi ban jalan musala musholla lantai lantai,0,Netral
Mirza Zaky,2 tahun lalu,Parkirnya sedikit banget sampe ada waiting list aduh pusing tolong solusinya giman,parkir banget sampe waiting list aduh pusing tolong solusi gim,-2,Negatif
Willy Hartanto,2 tahun lalu,"Literally first time trying for the first time. Yaaaa gw bukan penggemar sushi sih apalagi raw food sih, jd pesennya yg mateng2 aja. Sushi mentai enak, saladnya enak, udon dan nasinya enak. Kalo rasa khas jejepangan jd new buat gw. Tp ga istimewa bgt",literally first time trying for the first time yaaaa gw gemar sushi sih raw food sih jd sen yg mateng aja sushi mentai enak saladnya enak udon nasi enak kalo khas jejepangan jd new gw tp ga istimewa bgt,15,Positif
Gede Bagus Bayu Pentium,2 tahun lalu,Sushinya enak. Dan stafnya ramah. Entah kenapa sushinya lebih enak dari Sushi Tei di Singapura dan dengan harga lebih murah. Mungkin akan kembali lagi lain kali. …,sushinya enak staf ramah sushinya enak sushi tei singapura harga murah kali,8,Positif
Luhur Nugraha,2 tahun lalu,Makanan enak dan tempat yang bagus,makan enak bagus,-1,Negatif
Selvy H,2 tahun lalu,"Selalu fresh,service oke,rasanya enak terus,sayang ini satu2nya sushi tei dijogja jadi sering ramai,parkiran agak membingungkan.",fresh service oke enak sayang satu sushi tei dijogja ramai parkir bingung,2,Positif
Linda Yanti Sulistiawati,2 tahun lalu,"Membawa kembali kenangan ketika kami makan di sini. Semuanya oke, rasanya enak untuk sushi Jogja. 😁👍 …",bawa kenang makan oke enak sushi jogja,2,Positif
Kyongkichi,2 tahun lalu,"Makanannya enak, harganya cukup mahal tapi sesuai dengan rasa yg enak. Sering penuh tempatnya jadi masuk daftar waiting list",makan enak harga mahal sesuai yg enak penuh tempat masuk daftar waiting list,1,Positif
JOREGATESU,2 tahun lalu,"Pelayanan Sushi Tei yang selalu memuaskan.
Pelayan dan security sangat sopan.
Lahan parkir mobil tidak luas, jadi saya sarankan naik motor atau ojek online saja.",layan sushi tei muas layan security sopan lahan parkir mobil luas saran motor ojek online,9,Positif
Ignatius Harry,2 tahun lalu,Minim parkir,minim parkir,-2,Negatif
HUTOMO VLOG (TOM),2 tahun lalu,Mantap,mantap,5,Positif
Anna Wee,2 tahun lalu,Sushi yang sangat enak!,sushi enak,1,Positif
Khoirunnisaa Fairuuz,2 tahun lalu,Salmon sashiminya juara banget pokoknya 🥰 …,salmon sashiminya juara banget pokok,-1,Negatif
Fany Wedahuditama,2 tahun lalu,Tidak perlu menambah kesaksian lagi. Tempat sushi terbaik di dunia!,tambah saksi sushi baik dunia,5,Positif
Putut Danurwendo,2 tahun lalu,"Rada mahal, tp uenak e poll.. Ga bakal kecewa mkn sushi disini fresh bgt. tp jeleknya buat kantong pas2an kyk gw ga bisa tiap hari mkn disini.. 😭
Sering2 promo donk.. …",rada mahal tp uenak e poll ga kecewa mkn sushi fresh bgt tp jelek kantong pas kyk gw ga mkn promo donk,1,Positif
Beiby Puutri,2 tahun lalu,"Makananya enak staff nya ramaaaaaah
Makanan ga terlalu lama",makananya enak staff nya ramaaaaaah makan ga,1,Positif
Deby Aprilia Haryani,2 tahun lalu,Enak sih tp pricey,enak sih tp pricey,1,Positif
Neneng Sri Wahyuni,2 tahun lalu,Ada Musholla diatas lumayan nyaman dan bersih,musholla atas lumayan nyaman bersih,-1,Negatif
Baggus Parradhika,2 tahun lalu,Aga lama servis. Mungkin jam sibuk.,aga servis jam sibuk,4,Positif
andi dulusana,2 tahun lalu,cuma beliin maeman sih,beliin maeman sih,-1,Negatif
Avina Salsabila,2 tahun lalu,kurang tempat pribadi 🙏🏼 rasanya segalanya!! ubi …,pribadi ubi,0,Netral
Wendy Fernando,2 tahun lalu,"Rasa sama harga,, high kelas punyaaa,, wajib kesini kalo lagi promo",harga high kelas punyaaa wajib kesini kalo promo,1,Positif
Sartika Rachmad,2 tahun lalu,"Tidak perlu diragukan lagi, best sushi in town. Sayang ga punya cabang kayak di kota lain yg biasanya ada di dalem mall. mungkin bisa dipertimbangkan ☺️",ragu best sushi in town sayang ga cabang kayak kota yg dalem mall timbang,-9,Negatif
국제커플삼남매,2 tahun lalu,Parkir buruk.  Tidak ada bir. Mengingat harga gulungan gantung itu mahal. Rasanya biasa saja..,parkir buruk bir harga gulung gantung mahal,-8,Negatif
Ghe Ghe,2 tahun lalu,Direkomendasikan,rekomendasi,0,Netral
Findi,2 tahun lalu,Tempat nyaman bersih.Pelayanan sangat ramah,nyaman bersih layan ramah,6,Positif
Eprat Maningrum,2 tahun lalu,Jogja? Selalu kesini..👍👍👍 …,jogja kesini,0,Netral
Nurmalini Hasan,2 tahun lalu,Selalu jadi pilihan terbaik saat pas pangen makan sushi,pilih baik pas pangen makan sushi,3,Positif
Lisa Pangesti,2 tahun lalu,"Makanan enak, mahal tapi sepadan, pelayanan dan rasa tidak pernah gagal",makan enak mahal padan layan gagal,-2,Negatif
Adi Ferdian,2 tahun lalu,"Enak, tapi sayangnya nasinya dingin banget jadi mengurangi rasa~",enak sayang nasi dingin banget kurang,1,Positif
Naily Ananda,2 tahun lalu,"was beyond satisfied makan di sushi tei. servicenya bagus, dari waitress, kasir, sampai tukang parkir semua melayani dengan baik dan ramah. rasa makanannya juga gaada yang mengecewakan. enak banget sampe terharu makannya. porsinya pun …",was beyond satisfied makan sushi tei servicenya bagus waitress kasir tukang parkir layan ramah makan gaada kecewa enak banget sampe haru makan porsi,0,Netral
wening,2 tahun lalu,Nabe kepala salmon pedas tiada tandingannya 🥰 …,nabe kepala salmon pedas tiada tanding,-6,Negatif
Edwin Junus,2 tahun lalu,Josh,josh,0,Netral
Zimbah Castro,2 tahun lalu,"Tempat tunggu driver online diluar (cuaca panas+puasa), padahal didalam ada tempat tunggu longgar, tapi gak boleh. Aneh...
Kenapa harus dibedakan customer biasa sama driver online??",tunggu driver online luar cuaca panas puasa dalam tunggu longgar gak aneh beda customer driver online,1,Positif
Hambuko Sunendro,2 tahun lalu,Maknyuss..,maknyuss,0,Netral
Leond Rafale,2 tahun lalu,Sushi favorit saya di kota,sushi favorit kota,-1,Negatif
Raki Faisal Anas,2 tahun lalu,"Saya baru kali ini makan sushi yang proper. Diajakin sama teman ke sushi tei, dan ternyata se enak itu gak paham lagi. Waktu itu kebetulan lagi end month sale gitu. Kena per plate 25K. …",kali makan sushi proper diajakin teman sushi tei enak gak paham end month sale gitu kena plate k,-2,Negatif
channel Tu7uh 6nam,2 tahun lalu,Driver tidak boleh nunggu di dalem,driver nunggu dalem,-1,Negatif
Surya Kusuma Nugraha,2 tahun lalu,Dijamin enak pokoknya...value for money lah,jamin enak pokok value for money,-4,Negatif
Ri ni,2 tahun lalu,Resto super lama,resto super,1,Positif
Lili Febriyani,2 tahun lalu,Pelayanan cepat. Makanan selalu enak~,layan cepat makan enak,1,Positif
Wewen Anggarini,2 tahun lalu,"Best sushi in town
Tempat nyaman. Pelayanan bagus. Menyediakan vallet parking. Highly recommended 🤟👍 …",best sushi in town nyaman layan bagus sedia vallet parking highly recommended,4,Positif
novi sandri,2 tahun lalu,Favorit..,favorit,0,Netral
Denna,2 tahun lalu,"Untuk rasa yaaaa sudah pasti ada harga ada rupa lach yaaaaa wkwkw jadi tidak perlu diragukan. Service juga okee. Tapi ya kui, agak larang aja wkwowkwowkow (aq ncen mure)",yaaaa harga rupa lach yaaaaa wkwkw ragu service okee ya kui larang aja wkwowkwowkow aq ncen mure,6,Positif
Vivian Ayomi,2 tahun lalu,Oke,oke,2,Positif
Mella Ratna,2 tahun lalu,"Kesini karna kangen sama sushi di jepang.. dan ternyata enak,, servisnya juga ga mengecewakan sih.. recomended lah ya",kesini karna kangen sushi jepang enak servis ga kecewa sih recomended ya,8,Positif
dian prasanti,2 tahun lalu,Selalu dituju jika pengen sushi dan teman²nya,tuju ken sushi teman nya,0,Netral
Rizky Amira,2 tahun lalu,"Salah satu restoran terbaik di Jogja. Saya suka tempat, makanan, dan minuman mereka. Kalau tidak salah ingat, Sushi Tei Jogja memiliki ambience yang lebih enak dibandingkan Sushi Tei lainnya. Lightningnya bagus(?), maksudnya tempatnya tidak …",salah restoran baik jogja suka makan minum salah sushi tei jogja milik ambience enak banding sushi tei lightningnya bagus maksud tempat,-12,Negatif
Fifi Nurlia,2 tahun lalu,suka sekali! direkomendasikan..,suka rekomendasi,2,Positif
Tonic Water,2 tahun lalu,"Makanannya oke, pelayannya baik",makan oke layan,2,Positif
Yohanes Purnomo,2 tahun lalu,Pelayanan bagus.,layan bagus,-2,Negatif
Dawud Rochmatillah,2 tahun lalu,"pelayanannya sangat cepat, untuk pelayanan ini betul-betul juara, untuk harga ya sesuai lah, untuk soal rasa kebetulan waktu itu pesan sushi dan beberapa makanan yang basic aja, maaf tapi pernah makan yang lebih enak di resto jepang lain …",layan cepat layan juara harga ya sesuai pesan sushi makan basic aja maaf makan enak resto jepang,10,Positif
Sabila Riski,2 tahun lalu,Tempat yang bagus untuk mokel 😂 harganya masuk akal dengan rasa dan staf yang ramah. namun kini sambal mentai sudah tidak gratis lagi. …,bagus mokel harga masuk akal staf ramah sambal mentai gratis,4,Positif
Neng Tintin,2 tahun lalu,Laff lah pokoknya,laff pokok,0,Netral
SANDJAYA CHANNEL MEDIA,2 tahun lalu,"Waktu tunggu lama, tapi suasana nyaman enak buat santai",tunggu suasana nyaman enak santai,10,Positif
David,2 tahun lalu,Makanan enak... Pelayanan oke,makan enak layan oke,3,Positif
ORDINARY GOOD CITIZEN,2 tahun lalu,"Banyak yang berubah dengan kualitas makanannya, entah karena efek pandemi, atau memang banyak raw material yang di rubah. Saya big fan of sushi tei, buta pengalaman terakhir makan kok banyak sekali yang sudah berubah.... Mungkin mereka butuh evaluasi lagi....",ubah kualitas makan efek pandemi raw material rubah big fan of sushi tei buta alam makan ubah butuh evaluasi,-5,Negatif
Safwa Syafiq Shadiq,2 tahun lalu,"Kesukaan Safwa banget makan disini, makanan favorit kami udon ni cheese ❤",suka safwa banget makan makan favorit udon ni cheese,1,Positif
Dimaz Prabu Ginanjar Setiadi,2 tahun lalu,"Makanan enak, pelayanan baik, ruangan nyaman",makan enak layan ruang nyaman,2,Positif
Galuh Nastiti,2 tahun lalu,Simply best sushi in town. Dari dulu sampai sekarang.,simply best sushi in town,0,Netral
Monica,2 tahun lalu,pelayanan baik sekali dan ambiencenya juga nyaman,layan ambiencenya nyaman,4,Positif
Ari Os,2 tahun lalu,Penyajiannya luar biasa,saji,4,Positif
fajar suryani,2 tahun lalu,"Tempat bersih, sushi halal, seru bersama keluarga ataupun teman.",bersih sushi halal seru keluarga teman,1,Positif
Blacan Cek,2 tahun lalu,Resto rakalap tak respon sm ojol👎👎👎👎👎👎 …,resto rakalap respon sm ojol,2,Positif
sri rahayu,2 tahun lalu,"Fast respon seperti biasa dan berikan pelayanan terbaik. Rasa makanannya terkadang berbeda setiap kunjungan seperti chuka idako, atau bahkan karinya terasa lebih manis di cabang Jogjakarta",fast respon layan baik makan terkadang beda kunjung chuka idako kari manis cabang jogjakarta,8,Positif
Mahendra Ari Kurniawan,2 tahun lalu,Parkir valet luar biasa dengan petugas yang baik. Ruang makannya tidak terlalu luas tetapi para pelayannya penuh perhatian dan sangat baik. …,parkir valet tugas ruang makan luas layan penuh perhati,0,Netral
Isti Kurniawati,2 tahun lalu,"Datang ke sini pas jogja lagi panas-panasnya, jadi walaupun AC dah nyala tapi tetep ngga berasa. Pelayanan oke banget, walaupun kondisi ramai dan harus waiting list. Ada harga, ada kualitas. Menunya beragam dan rasanya enak, recommended …",pas jogja panas panas ac dah nyala tetep ngga asa layan oke banget kondisi ramai waiting list harga kualitas menu agam enak recommended,13,Positif
Vio Violet,2 tahun lalu,Sushi terbaik di kota. Mereka menggunakan bahan-bahan segar. Pelayanannya luar biasa. Favorit baru saya adalah lava roll,sushi baik kota bahan bahan segar layan favorit lava roll,-1,Negatif
icha merinda,2 tahun lalu,Nyamaan tempatnya dan pelayanan bagus. Bawa anak kecil juga nyaman,nyamaan tempat layan bagus bawa anak nyaman,-6,Negatif
Widi yanto,2 tahun lalu,Deliciouse dan nak nan,deliciouse nak nan,0,Netral
Fabiola Tissa Wibisono,2 tahun lalu,"Nyaman,adem,enak,pelayanan ramah",nyaman adem enak layan ramah,7,Positif
Hernina Tri Purna Hapsari,2 tahun lalu,Pilihan terbaik kalo mau makan sushi enak tapi gak mahal2 amat,pilih baik kalo makan sushi enak gak mahal,2,Positif
Arnika Ayu,2 tahun lalu,"Tempatnya nyaman, makanan enak. Pelayanan memuaskan",tempat nyaman makan enak layan muas,7,Positif
