username,tanggal_ulasan,komentar
Aulya Avionhela,2 tahun lalu,rasa & layanan yang luar biasa👍🏼👍🏼🤗 …
Kika Maulana,2 tahun lalu,Restaurant ini adalah tempat makan favorit keluarga saya. Semua punya masakan kesukaan masing-masing. Sashimi dan Salmon head Tjioe salah satu yang terfavorit di keluarga saya.  Kami sangat menikmati setiap olahan masakannya. Terutama anak …
Galih Pamungkas,2 tahun lalu,
Dwi Endahsari,2 tahun lalu,
Aries Umar,2 tahun lalu,
Vicky,2 tahun lalu,
aji setyowijaya,2 tahun lalu,
Putri,2 tahun lalu,Selalu enak! Luv sushi tei! Salmonnya selalu segar
Mei Dwi Hartanti,2 tahun lalu,"Enak semua , favorite sih sup salmon nya . Tpi ga sempet ke foto ,udah lngsung habis"
Nadhifa Ayu Shafirra,2 tahun lalu,"Pertama kali ke sushi tei yang pisah dari mall bangunannya. Cozy, tempatnya nyaman. Pelayanannya cepat. Dan selalu enak untuk makanan2nya."
O Lynz,2 tahun lalu,sushinya semuanya enak. beberapa kali mampir disini. harganya memang agak mahal tapi worth it lah sama pelayanan dan kualitas makanannya.
Alexander Marthinsen,2 tahun lalu,
Heinz h,2 tahun lalu,"Cukup ramai, cukup cepat"
Tiara Sukma,2 tahun lalu,"Restoran yang menjual menu makanan Jepang. Tempat sangat nyaman, bersih dan pelayanannya juga sangat baik. Nyobain beberapa menu, favorit banget sushi jumbo dragon rollnya"
Sari.F Mgr,2 tahun lalu,"Asyik duduk di meja bar, pick up as your choice selain dari yg ada di buku menu. menu lengkap, cake nya yummy bgt, minumnya bersoda sparkle buat ngimbangin rasa sushi, dan cakenya"
Kelik Yuniarto Ya,2 tahun lalu,
Erlina Pertiwi,2 tahun lalu,Selalu ramai meski harga tidak murah.  Rasa sangat sesuai dengan harga. Memuaskan . .
Adhi Jayo,2 tahun lalu,
Safira Sabilla Rosyad,2 tahun lalu,
Victoria Budi P,2 tahun lalu,
Annisa Putri Wahyu F,2 tahun lalu,selalu menyenangkan makan di sini
Oktavian wicaksono,2 tahun lalu,
Moza Rella,2 tahun lalu,
Aini Nurhidayati,2 tahun lalu,
Monica Suryanto,2 tahun lalu,
Romi Satrio,2 tahun lalu,
Sami Mäkelä,2 tahun lalu,Sushi terbaik di kota dengan mudah.
Erry Christanto,2 tahun lalu,
Desi Wahyuni,2 tahun lalu,"Resto sushi favorit dijogja sushi tei. Sushi nya enak2 banget, udonnya juga enak bisa dimakan berdua, staff nya ramah2, pembayaran bisa cashless juga. Paling suka kalo birthday pasti dapet sushi birthday. Toilet ada, mushola ada tapi kurang …"
Amalia Sudirman,2 tahun lalu,
Rudi Hartono,2 tahun lalu,Mungkin karena gak terbiasa menu Jepang dilidah terasa aneh.hanya belut goreng yg cocok dilidah.3x kesini karena nemenin klien.tempatnya asik
Alfat,2 tahun lalu,
Kritik Membangun,2 tahun lalu,Pesanan online lama
Fajar,2 tahun lalu,
H H,2 tahun lalu,Cukup ramai tetapi tidak memakan waktu lama untuk queque dan makanan.
Itsmecha,2 tahun lalu,
Woro Setyanti,2 tahun lalu,
Hans Yohanes,2 tahun lalu,"Tempat nyaman
Pegawai ramah
Makanan enak"
Daru Wiyati,2 tahun lalu,
nicke rizki,2 tahun lalu,
Fransisca Restu Kristiani,2 tahun lalu,
hilman kurniawan,2 tahun lalu,Makan di sini gratis ada yg mbayarin.
Agus Widodo,2 tahun lalu,
Aria Ogy,2 tahun lalu,Harga sesuai rasa dan pelayanan lah...
Cindy,2 tahun lalu,
Siti Fatonah,2 tahun lalu,
Bagus Syafrieza Paradhika,2 tahun lalu,
Agus Purwo Murdoko,2 tahun lalu,
diastri dewi,2 tahun lalu,"Ke sini karna pengen makan ramen. Ternyata porsinya besar dong. Untung ngga sendirian makannya. Selain itu kemaren aku pesen chawan musi, fuji roll sushi dan... satunya lupa karna bukan aku yg milih. Kenyang banget pokoknya. Untuk menu yg aku pilih, ngga ada yg fail, enak semua."
oktaviano kautsasr,2 tahun lalu,
Djazuli Suprapto,2 tahun lalu,"Tempatnya strategis , menu lengkap dan enak"
anggia dewi,2 tahun lalu,
Rahmat Sunarya,2 tahun lalu,
echie satriyadi,2 tahun lalu,"Makanan enak, suasana hati bagus 😻
Sashimi segar …"
Yeny Sintia,2 tahun lalu,Rekomend buat yang mau coba atau mau makan sushi. Varian sushinya banyak ada menu lain juga seperti ramen dll. Pelayanannya sangat baik
BH rakaton,2 tahun lalu,suka sekali
Rizpol,2 tahun lalu,"baru pertama kali makan sushi dan langsung suka, tempatnya lumayan mewah suasana jejepangannya berasa, walaupun agak mahal tapi kualitasnya terjamin. paling suka spicy salmon inarinya. ga cuma sushi ada juga beberapa side dish, dna minumannya juga oke"
Fransiskus Ivan Gunawan,2 tahun lalu,
Rizki Amilia Fauziati,2 tahun lalu,"Fresh and delicious tapi pricey juga🤭
Sesuai dengan kualitas makanan dan kenyamanan tempat. …"
Febriyanti Dwi Saputri,2 tahun lalu,
Ramón van Vlaardingen,2 tahun lalu,
Fauzia Wardani,2 tahun lalu,"Makanan mereka selalu enak dan segar. Di lantai 1 (lantai dasar) kita bisa mengambil sepiring sushi dari ban berjalan.
Terdapat musala (musholla) di lantai 3 (Lantai 2). …"
Koes Koes,2 tahun lalu,
Siti Ardila Merdekawati,2 tahun lalu,
Eriek Wahyu Irawan,2 tahun lalu,
071_ Rakha Taufiq,2 tahun lalu,
Mirza Zaky,2 tahun lalu,Parkirnya sedikit banget sampe ada waiting list aduh pusing tolong solusinya giman
Willy Hartanto,2 tahun lalu,"Literally first time trying for the first time. Yaaaa gw bukan penggemar sushi sih apalagi raw food sih, jd pesennya yg mateng2 aja. Sushi mentai enak, saladnya enak, udon dan nasinya enak. Kalo rasa khas jejepangan jd new buat gw. Tp ga istimewa bgt"
Gede Bagus Bayu Pentium,2 tahun lalu,Sushinya enak. Dan stafnya ramah. Entah kenapa sushinya lebih enak dari Sushi Tei di Singapura dan dengan harga lebih murah. Mungkin akan kembali lagi lain kali. …
agung dhani,2 tahun lalu,
Luhur Nugraha,2 tahun lalu,Makanan enak dan tempat yang bagus
Endri Unjas,2 tahun lalu,
Selvy H,2 tahun lalu,"Selalu fresh,service oke,rasanya enak terus,sayang ini satu2nya sushi tei dijogja jadi sering ramai,parkiran agak membingungkan."
Rania Anezka A.,2 tahun lalu,
Linda Yanti Sulistiawati,2 tahun lalu,"Membawa kembali kenangan ketika kami makan di sini. Semuanya oke, rasanya enak untuk sushi Jogja. 😁👍 …"
Kyongkichi,2 tahun lalu,"Makanannya enak, harganya cukup mahal tapi sesuai dengan rasa yg enak. Sering penuh tempatnya jadi masuk daftar waiting list"
Wanda Nur Melia R,2 tahun lalu,
JOREGATESU,2 tahun lalu,"Pelayanan Sushi Tei yang selalu memuaskan.
Pelayan dan security sangat sopan.
Lahan parkir mobil tidak luas, jadi saya sarankan naik motor atau ojek online saja."
Ignatius Harry,2 tahun lalu,Minim parkir
HUTOMO VLOG (TOM),2 tahun lalu,Mantap
Anna Wee,2 tahun lalu,Sushi yang sangat enak!
ovomaltinest 88,2 tahun lalu,
Khoirunnisaa Fairuuz,2 tahun lalu,Salmon sashiminya juara banget pokoknya 🥰 …
Wawan Soemadi,2 tahun lalu,
Fany Wedahuditama,2 tahun lalu,Tidak perlu menambah kesaksian lagi. Tempat sushi terbaik di dunia!
Putut Danurwendo,2 tahun lalu,"Rada mahal, tp uenak e poll.. Ga bakal kecewa mkn sushi disini fresh bgt. tp jeleknya buat kantong pas2an kyk gw ga bisa tiap hari mkn disini.. 😭
Sering2 promo donk.. …"
Ameera Tesoro,2 tahun lalu,
maria ratnawati,2 tahun lalu,
Aulya Rachman,2 tahun lalu,
Beiby Puutri,2 tahun lalu,"Makananya enak staff nya ramaaaaaah
Makanan ga terlalu lama"
Deby Aprilia Haryani,2 tahun lalu,Enak sih tp pricey
Rahel FridAng,2 tahun lalu,
Neneng Sri Wahyuni,2 tahun lalu,Ada Musholla diatas lumayan nyaman dan bersih
Baggus Parradhika,2 tahun lalu,Aga lama servis. Mungkin jam sibuk.
andi dulusana,2 tahun lalu,cuma beliin maeman sih
Avina Salsabila,2 tahun lalu,kurang tempat pribadi 🙏🏼 rasanya segalanya!! ubi …
Fatach Ichwan,2 tahun lalu,
Wendy Fernando,2 tahun lalu,"Rasa sama harga,, high kelas punyaaa,, wajib kesini kalo lagi promo"
Beda Aruna Pradana,2 tahun lalu,
Eddy Gunawan,2 tahun lalu,
Sartika Rachmad,2 tahun lalu,"Tidak perlu diragukan lagi, best sushi in town. Sayang ga punya cabang kayak di kota lain yg biasanya ada di dalem mall. mungkin bisa dipertimbangkan ☺️"
국제커플삼남매,2 tahun lalu,Parkir buruk.  Tidak ada bir. Mengingat harga gulungan gantung itu mahal. Rasanya biasa saja..
Ghe Ghe,2 tahun lalu,Direkomendasikan
Findi,2 tahun lalu,Tempat nyaman bersih.Pelayanan sangat ramah
Eprat Maningrum,2 tahun lalu,Jogja? Selalu kesini..👍👍👍 …
Zhafirah Nindya,2 tahun lalu,
Hanif Abdillah,2 tahun lalu,
Hejin Zulvy Izzabilla,2 tahun lalu,
Nurmalini Hasan,2 tahun lalu,Selalu jadi pilihan terbaik saat pas pangen makan sushi
Lisa Pangesti,2 tahun lalu,"Makanan enak, mahal tapi sepadan, pelayanan dan rasa tidak pernah gagal"
Benjamin Djayaputera,2 tahun lalu,
Adi Ferdian,2 tahun lalu,"Enak, tapi sayangnya nasinya dingin banget jadi mengurangi rasa~"
Naily Ananda,2 tahun lalu,"was beyond satisfied makan di sushi tei. servicenya bagus, dari waitress, kasir, sampai tukang parkir semua melayani dengan baik dan ramah. rasa makanannya juga gaada yang mengecewakan. enak banget sampe terharu makannya. porsinya pun …"
Christopher Bravo,2 tahun lalu,
Septa Herawiharja,2 tahun lalu,
wening,2 tahun lalu,Nabe kepala salmon pedas tiada tandingannya 🥰 …
Dwi Prayogi,2 tahun lalu,
Yuradita,2 tahun lalu,
Rizqi Fajrin Raharja,2 tahun lalu,
Edwin Junus,2 tahun lalu,Josh
Zimbah Castro,2 tahun lalu,"Tempat tunggu driver online diluar (cuaca panas+puasa), padahal didalam ada tempat tunggu longgar, tapi gak boleh. Aneh...
Kenapa harus dibedakan customer biasa sama driver online??"
Me Me,2 tahun lalu,
Hambuko Sunendro,2 tahun lalu,Maknyuss..
Leond Rafale,2 tahun lalu,Sushi favorit saya di kota
Raki Faisal Anas,2 tahun lalu,"Saya baru kali ini makan sushi yang proper. Diajakin sama teman ke sushi tei, dan ternyata se enak itu gak paham lagi. Waktu itu kebetulan lagi end month sale gitu. Kena per plate 25K. …"
channel Tu7uh 6nam,2 tahun lalu,Driver tidak boleh nunggu di dalem
Surya Kusuma Nugraha,2 tahun lalu,Dijamin enak pokoknya...value for money lah
aziz lukman,2 tahun lalu,
Ri ni,2 tahun lalu,Resto super lama
Andreas Diga,2 tahun lalu,
Lili Febriyani,2 tahun lalu,Pelayanan cepat. Makanan selalu enak~
Skolastika Pertiwi,2 tahun lalu,
Wewen Anggarini,2 tahun lalu,"Best sushi in town
Tempat nyaman. Pelayanan bagus. Menyediakan vallet parking. Highly recommended 🤟👍 …"
Rusdhy Uzhu,2 tahun lalu,
yandy tanoto,2 tahun lalu,
Mardiko Adi P,2 tahun lalu,
novi sandri,2 tahun lalu,Favorit..
Denna,2 tahun lalu,"Untuk rasa yaaaa sudah pasti ada harga ada rupa lach yaaaaa wkwkw jadi tidak perlu diragukan. Service juga okee. Tapi ya kui, agak larang aja wkwowkwowkow (aq ncen mure)"
ruth maranatha,2 tahun lalu,
Wishnu Wibowo,2 tahun lalu,
Vivian Ayomi,2 tahun lalu,Oke
Mella Ratna,2 tahun lalu,"Kesini karna kangen sama sushi di jepang.. dan ternyata enak,, servisnya juga ga mengecewakan sih.. recomended lah ya"
dhika,2 tahun lalu,
aris suryadi,2 tahun lalu,
Hepi Ambarani,2 tahun lalu,
dian prasanti,2 tahun lalu,Selalu dituju jika pengen sushi dan teman²nya
Rizky Amira,2 tahun lalu,"Salah satu restoran terbaik di Jogja. Saya suka tempat, makanan, dan minuman mereka. Kalau tidak salah ingat, Sushi Tei Jogja memiliki ambience yang lebih enak dibandingkan Sushi Tei lainnya. Lightningnya bagus(?), maksudnya tempatnya tidak …"
Lia Kristanti,2 tahun lalu,
Reyhan Berliando,2 tahun lalu,
Fifi Nurlia,2 tahun lalu,suka sekali! direkomendasikan..
Dian Sukmono Aji,2 tahun lalu,
Tonic Water,2 tahun lalu,"Makanannya oke, pelayannya baik"
Dinar Adi,2 tahun lalu,
Yohanes Purnomo,2 tahun lalu,Pelayanan bagus.
Dawud Rochmatillah,2 tahun lalu,"pelayanannya sangat cepat, untuk pelayanan ini betul-betul juara, untuk harga ya sesuai lah, untuk soal rasa kebetulan waktu itu pesan sushi dan beberapa makanan yang basic aja, maaf tapi pernah makan yang lebih enak di resto jepang lain …"
Valentinus C,2 tahun lalu,
Denny Devenez,2 tahun lalu,
Abdan Himawan (Abdan),2 tahun lalu,
Risma Nadiyanti,2 tahun lalu,
Sabila Riski,2 tahun lalu,Tempat yang bagus untuk mokel 😂 harganya masuk akal dengan rasa dan staf yang ramah. namun kini sambal mentai sudah tidak gratis lagi. …
Bunga Ratna Dila,2 tahun lalu,
Kaka Yudhanti,2 tahun lalu,
Neng Tintin,2 tahun lalu,Laff lah pokoknya
danis dee,2 tahun lalu,
SANDJAYA CHANNEL MEDIA,2 tahun lalu,"Waktu tunggu lama, tapi suasana nyaman enak buat santai"
David,2 tahun lalu,Makanan enak... Pelayanan oke
ORDINARY GOOD CITIZEN,2 tahun lalu,"Banyak yang berubah dengan kualitas makanannya, entah karena efek pandemi, atau memang banyak raw material yang di rubah. Saya big fan of sushi tei, buta pengalaman terakhir makan kok banyak sekali yang sudah berubah.... Mungkin mereka butuh evaluasi lagi...."
Safwa Syafiq Shadiq,2 tahun lalu,"Kesukaan Safwa banget makan disini, makanan favorit kami udon ni cheese ❤"
Beby EmbongRahardJo,2 tahun lalu,
fuad zulkarnain,2 tahun lalu,
Syifa Ul Husna,2 tahun lalu,
Dimaz Prabu Ginanjar Setiadi,2 tahun lalu,"Makanan enak, pelayanan baik, ruangan nyaman"
Galuh Nastiti,2 tahun lalu,Simply best sushi in town. Dari dulu sampai sekarang.
Monica,2 tahun lalu,pelayanan baik sekali dan ambiencenya juga nyaman
Ari Os,2 tahun lalu,Penyajiannya luar biasa
fajar suryani,2 tahun lalu,"Tempat bersih, sushi halal, seru bersama keluarga ataupun teman."
Blacan Cek,2 tahun lalu,Resto rakalap tak respon sm ojol👎👎👎👎👎👎 …
sri rahayu,2 tahun lalu,"Fast respon seperti biasa dan berikan pelayanan terbaik. Rasa makanannya terkadang berbeda setiap kunjungan seperti chuka idako, atau bahkan karinya terasa lebih manis di cabang Jogjakarta"
Muhammad Alifudin Ashfa,2 tahun lalu,
Meilia Gracia,2 tahun lalu,
luthfia tsamaroh,2 tahun lalu,
Bambang Wibowo,2 tahun lalu,
Raymond Devara,2 tahun lalu,
Mahendra Ari Kurniawan,2 tahun lalu,Parkir valet luar biasa dengan petugas yang baik. Ruang makannya tidak terlalu luas tetapi para pelayannya penuh perhatian dan sangat baik. …
Isti Kurniawati,2 tahun lalu,"Datang ke sini pas jogja lagi panas-panasnya, jadi walaupun AC dah nyala tapi tetep ngga berasa. Pelayanan oke banget, walaupun kondisi ramai dan harus waiting list. Ada harga, ada kualitas. Menunya beragam dan rasanya enak, recommended …"
Vio Violet,2 tahun lalu,Sushi terbaik di kota. Mereka menggunakan bahan-bahan segar. Pelayanannya luar biasa. Favorit baru saya adalah lava roll
icha merinda,2 tahun lalu,Nyamaan tempatnya dan pelayanan bagus. Bawa anak kecil juga nyaman
Widi yanto,2 tahun lalu,Deliciouse dan nak nan
Paryono Kabul,2 tahun lalu,
Fabiola Tissa Wibisono,2 tahun lalu,"Nyaman,adem,enak,pelayanan ramah"
Hernina Tri Purna Hapsari,2 tahun lalu,Pilihan terbaik kalo mau makan sushi enak tapi gak mahal2 amat
Arnika Ayu,2 tahun lalu,"Tempatnya nyaman, makanan enak. Pelayanan memuaskan"
Niko Prasetyo,2 tahun lalu,
Nani Fadhilah,2 tahun lalu,
Gerardo Jason Chinua,2 tahun lalu,
Winny Perwithosuci,2 tahun lalu,Pertama kalinya dine in di Sushi Tei Yk. So far pelayanan nya bagus. Pegawai ramah dan cekatan. Tp waktu kesana pas cuaca lg panas panas nya. Alhasil ruangan nya ikut sedikit panas. Padahal ac sudah nyala. Soal rasa tidak diragukan lagi lah yaaa. Will be there again soon!
Lord's Servant,2 tahun lalu,"Awalnya cuman mau coba tempat makan baru di Jogja, tempatnya biasa aja, ga fancy2 bgt. Cuman harganya terlalu mahal buat makanan yg secara pribadi rasanya biasa aja, ya mirip sama sushi2 pada umumnya, cuman lebih komplit aja sih pilihannya. …"
kezia yesika,2 tahun lalu,enak
Lintang Dewi P,2 tahun lalu,"Satu-satunya Sushi Tei di kota, dan tempat ini sangat ramai tetapi stafnya masih ramah dan membantu …"
Pandu Eka Prayoga,2 tahun lalu,"Selalu puas makan di resto sushi satu ini.. buat saya yg belum pernah tinggal di Jepang, rasa sushinya kuanggap otentik banget. Hampir semua menu saya suka..hahaha. Paling favorit sama sashimi salmon series, unagi series, salmon head …"
Noel Harold,2 tahun lalu,
Dade Atman,2 tahun lalu,"Puas deh mkn disini, ada harga ada rupa sih
Kl lg pengen manjain diri ya kesini aja 😊 …"
Ajib Diptyanusa,2 tahun lalu,
Fiko B,2 tahun lalu,menyukai tempat ini.
Anggi Geo,2 tahun lalu,
Deky Hapsoro Aji Santoso,2 tahun lalu,Respon dan pengiriman cepat hari ini. Bahkan lebih cepat dari hari biasa meskipun hari ini Sushi Tei sudah terisi penuh. Kami berada di daftar ke-4. Sangat bagus 👍 …
Agni Indradi,2 tahun lalu,
Tika Sasongko,2 tahun lalu,
Sasongko Solo,2 tahun lalu,"Tempat nyaman, makanam eennnaaaakkkk"
Prima Mandana,2 tahun lalu,
Citra Widya,2 tahun lalu,
Bagas Alqadri,2 tahun lalu,Tempat yang sangat bagus dan restoran sushi jepang terbaik di Jogja
Luklu Rachmawati,2 tahun lalu,"Gak perlu komen lah,so far,it's the best sushi in town"
Mariska Lutfiah A,2 tahun lalu,"Waktu penyajian makanannya cepat. Porsi makanannya juga lebih banyak dibanding cabang kota lain. Tempatnya sendiri, tidak gabung dengan mall. Ada beberapa lantai dan ada private room. Tetapi untuk anda yang mungkin gampang berkeringat saat makan, ruang kaca agak sedikit kurang dingin."
이나트,2 tahun lalu,
Christian Hartanto,2 tahun lalu,Memang tempat buaht makan sushi yg enak. Tp kl menu lain ramen/udon/don rasa dibawah rata-rata.
Timbul Hadinegoro,2 tahun lalu,
Bayu Samodra,2 tahun lalu,"Salah satu tempat makan favorit, lokasi strategis, lantai 1 dan 2 untuk tempat makan, lantai 3 untuk mushola. Rasa dan pelayanan memuaskan."
Wahyu Dewanti,2 tahun lalu,
Tika Nurul Ulfa Sari,2 tahun lalu,
Nadhif Alwi -nad-,2 tahun lalu,
Nurlaila Anisahwati,2 tahun lalu,
Antonius Istiono,2 tahun lalu,Suka sekali....
anindita dhyaksa,2 tahun lalu,"lambat diminta revill minuman ampe 4x minta ke pelayannya,
Jng remehkan pelanggan yaa... walaupun dg costum yg sederhana..."
Tommy Irawan,2 tahun lalu,
r dewi,2 tahun lalu,Sangat profesional pelayanannya. Makanannya enak sih
Nadafiah Hari Fitri,2 tahun lalu,"enak banget! con belt ataupun menu books, enak semua. tamagoyaki tetap jadi favorit"
hanna suryandari,2 tahun lalu,"Enak sih, recommended"
Brenda Kharisma Rahardjo,2 tahun lalu,"Sushi B aja, cenderung anyeb rasanya, makanan lain2nya jg B bgt si mnrtku, menang nama aja"
Aa Alamsyah,2 tahun lalu,
Pretty Sheikina,2 tahun lalu,"Sushi yg beneran Sushi ini yah. Harga affordable untuk Sushi juga. Variasi makanan beragam, mulai makanan pembuka sampai penutup."
Wrtmh,2 tahun lalu,Suka es krim...
pramono tunggul,2 tahun lalu,
C I,2 tahun lalu,"Enak, sushi tei jogja lbh murah drpd sushi tei di kota lain, cuma nunggu makanannya agak lama"
PEJUANG HALAL,2 tahun lalu,
A Severina,2 tahun lalu,"Love it... Gak pernah berubah...
Chuka Idakonya emang menu paling juosss... Pokok e josss..
Just a little bit curious tentang wasabi. Sepertinya rasa wasabi nya sedikit …"
dwisigit perihhadi,2 tahun lalu,"Kasirnya ga ramah....ga senyum, ngomongnya nggak enak...kayak robot aja....
Mau pesen yang lain dia di tanya ngomongnya sedikit sedikt....ya sudah take away yang ada di menu aja.....saran untuk management, agar pegawainya di training ulang"
ade anggita,2 tahun lalu,"Pelayanan ramah, suka aja 😅 …"
Rina Juli Arum,2 tahun lalu,
Cynthia Ray,2 tahun lalu,
renaldito galang Pamungkas,2 tahun lalu,
Ryo Watanabe Chanel,2 tahun lalu,
Ma'ruf Ridho Syahrofi,2 tahun lalu,Lumayan..
Ike Marbun,2 tahun lalu,"Sering ke Sushi Tei di beberapa kota seperti Jakarta dan Bali, tapi tiap kesini doang ga ditanyain ada yg lagi ultah atau engga
Dan kemaren kesana pas banget hari ultah dan gaada ditanyain, jadi sebenernya …"
Laeli Nuraj,2 tahun lalu,"The best sushi in the town. Cinta banget deh sama Sushi Tei. Salmon & green saladnya juara. Sushi ebinya juga, tapi yg pake tofu ga recommended deh ya. Free refill teh ocha sampe kembung. Wkwk. Tempat bersih, toilet bersih, tersedia mushola di lantai 2. Ke sini pas buka puasa, musti nunggu bbrp waktu."
Barbarian Dath,2 tahun lalu,
Tri yulianto,2 tahun lalu,"Rasanya enak, sekarang parkirnya luas. Lumayan rame. Tapi cukup cepat. Tadi waiting list no 7, tapi gk ada 15 menit udah dapet kursi. Beli paket Ramadhan kenyang, sampai dibawa pulang gara2 udah gk muat perutnya."
triwinda nia,2 tahun lalu,"Pelayan baik, rasa makanan cukup enak, tempat nyaman bersih, penyajian makanannya terlalu lama
Pak parkirnya ramah syekali"
Debby Christiana,2 tahun lalu,
Lenny Yuniwati,2 tahun lalu,Lezat
Brigitta Paramita Handoyo,2 tahun lalu,"Ingin mencoba menu selain sushi, kami akhirnya memesan udon, salmon teriyaki don, kulit salmon, dan matcha lava cake sebagai hidangan penutup. Salmon teriyaki don rasanya enak, hidangan sederhana namun menenangkan. Untuk kulit salmon, aku …"
JIMMI SETIAWAN,2 tahun lalu,
Fertilina Hardiyani,2 tahun lalu,Hanya melayani reservasi minimal 8 orang. Kurang dr itu bisa dtg langsung
PUTRA BINARES,2 tahun lalu,
ibenk thezor,2 tahun lalu,
andy anto,2 tahun lalu,Recomended....
Fathimah DF,2 tahun lalu,
Sunarji Handono,2 tahun lalu,"Ojol menunggu di luar
Tidak nyaman dipakai"
Jenny Erlisa Nurwatiek,2 tahun lalu,
Narendra Ida Bagus,2 tahun lalu,
Abdul Aziz,2 tahun lalu,"Daging ikan yang digunakan masih fresh. Takoyakinya agak kering & kecil tapi rasanya enak. Porsi salad besar, sushi rollnya juga cukup bikin kenyang. Pelayanan sangat ramah. Makanan datang kurang lebih 15 menit setelah pesan walaupun kondisi ramai dan ada waiting list."
Alfia Ramadhani,2 tahun lalu,Yang terbaik di kota!
Yosua Lantika,2 tahun lalu,Enak bgt disini mkanan nyaa.....
Suhim Grab,2 tahun lalu,
Hening Hidayat,2 tahun lalu,Tempatnya bagus dan bersih tetapi harus menunggu cukup lama untuk mendapatkan makanan
Hening Hidayat,2 tahun lalu,"Makanannya enak, butuh waktu lama untuk menunggu"
Dianist Dianist,2 tahun lalu,
Lutfia Prihanani,2 tahun lalu,"Udah review nya cuma ENAK!!! menu sushinya enak semua, salmon tuna , fresh, rasanya pas semua ga ada yang fail untuk suahinya. Minuman juga oke, beberapa bisa refill ocha. Pelayanan bagus, tapi karena ino sushi ya harus sabar karena di …"
Reza Nur,2 tahun lalu,"Sama-sama order
Driver online food dilarang tunggu didalam  , harus tunggu diluar , panas , lama dan gak ada kompensasi ."
Lusiana Lusiana,2 tahun lalu,
Cong Acing,2 tahun lalu,Kenyamanan
Mamos Tony,2 tahun lalu,
Ruslansyah Gandhi (Gie),2 tahun lalu,Rasanya oke
Emanuel Trisnajati,2 tahun lalu,
SURIPTA SH RIPTO,2 tahun lalu,
Maria Silangen,2 tahun lalu,"Tempat yang bagus untuk makan malam di Yogyakarta. Bagi wisatawan, pilihan kuliner lain selain makanan lokal."
n kaz s,2 tahun lalu,
Dann Zee,2 tahun lalu,
bukan siapa-siapa,2 tahun lalu,
wiwiedz ziembah,2 tahun lalu,
Monic Andyani,2 tahun lalu,
Sylvia Kusumawati,2 tahun lalu,Tempat makan sushi paporit keluarga
Silviana Probandari,2 tahun lalu,"Ya! Masih Sushi Terbaik di kota... Jangan tanya harganya, Anda akan mendapatkan makanan berkualitas tinggi!"
Tjayadi BudiSetiawan,2 tahun lalu,sushi .....
Ary Wenda,2 tahun lalu,"Tempatnya nyaman, pelayan ramah"
Ilham Nuruddin Al huda,2 tahun lalu,
Ida farida,2 tahun lalu,
Diana Stephany Adji,2 tahun lalu,Selalu the best dan bikin nagih kalau makan di sini
Sugeng Listiyono,2 tahun lalu,Mantab
Anamichan,2 tahun lalu,Gak tau apa namanya tapi ini enakkk🤣 …
berlian fiftina,2 tahun lalu,
InFearNow,2 tahun lalu,"Sushi Terbaik di Kota, tentu saja!!!"
08 - Arvionila Lintang,2 tahun lalu,
rachmat eko purwanto,2 tahun lalu,Viewnya ajib amazing
dea rachmaningsih,2 tahun lalu,
Puty Lestari,2 tahun lalu,
Mamos Tony,2 tahun lalu,
NH,2 tahun lalu,"Langganan kesini tiap ultah, krn pasti dapet sushi gratis. Boleh lah dicoba 👍 …"
Fitria Anggraeni,2 tahun lalu,Punya hari ulang tahun yang menyenangkan di sini!
Trinindita Yuninggar,2 tahun lalu,
Rini Fathoni,2 tahun lalu,
Hermin Isbone,2 tahun lalu,Uk prokes tetap menjaga dan disaat kondisi bahan baku naik Sushi Tei masih tetap memberikan pelayanan prima Bravo 👏👏👏👏 …
Yuni Aqbari,2 tahun lalu,
Fitriyanna Prihantini,2 tahun lalu,
Annisa Aulya,2 tahun lalu,
Muhammad Herdiadi,2 tahun lalu,
Sri Sri,2 tahun lalu,
abdul malik,2 tahun lalu,Lumayan
agdera melati,2 tahun lalu,
Indra Murtyanto,2 tahun lalu,Sushi ter-mantap. Baru coba baked rice salmon mentai dan juga enak.
ari nugroho,2 tahun lalu,
Anisa Rima,2 tahun lalu,Service selalu ramah & responsif. Salmon cheese roll & salmon sashiminya paling enak. Dessertnya yang matcha ice cream recommended! Minuman ochanya jg enak.
Theodora Elgavasi Putrijati,2 tahun lalu,"Makanan enak dan rasanya enak. Tetapi Anda harus memesan karena pada waktu sibuk akan ada antrean dan daftar tunggu. Saya suka tempat ini, salah satu restoran Jepang paling enak di Yogyakarta."
Muhammad Arif Syakban,2 tahun lalu,"Seperti biasa, enak dan pelayanan baik. Kurang bell pada meja pelanggan (seperti sushi tei yg lain)"
Bengkel Podcast,2 tahun lalu,
Kafin Rijal,2 tahun lalu,Untuk masakan nya enak dan pelayanan nya bagus banget 👍 …
riris sept,2 tahun lalu,"Sangat suka makanannya, tempatnya, suasananya, dan porsinya haha. Saya dan keluarga selalu mengunjungi tempat ini ketika kami datang ke Yogyakarta. Petugas valet juga sangat baik dan bermanfaat. Disarankan untuk menghabiskan waktu menikmati …"
Bonifacius Charis R,2 tahun lalu,
mustofa ahmad,2 tahun lalu,
Elmass Keia,2 tahun lalu,Suka
Adi Widjanarko,2 tahun lalu,
Josep Gunawan - 2010,2 tahun lalu,Enak
Monica Amartya,2 tahun lalu,
